File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\xampp\htdocs\keyboard\lib\scripts-all.php,getLayoutName($in_layout_id),12,11,7,2,0,0,1,5,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,getGenreName($in_genre_id),12,11,7,2,0,0,1,5,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,getStyleName($in_style_id),16,15,9,4,0,0,1,5,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,getGameName($in_game_id),1,1,1,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,getAuthorName($in_author_id),12,11,7,3,0,0,1,5,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,"print_key_html($in_id, $in_class, $in_color, $in_value)",3,3,2,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,cleantextHTML($instring),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,cleantextSVG($instring),4,2,2,1,0,0,2,7,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,cleantextJS($instring),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,cleantextWiki($instring),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,splittext($instring),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,getkeycolor($group),3,3,3,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,getkeyclass($group),3,3,3,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,"leadingZeros($innumber, $level)",2,2,2,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,getFileTime(),13,13,9,3,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,checkForErrors(),37,34,18,5,0,1,3,31,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,"usortByMember1($a, $b)",2,2,2,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,"usortByMember2($a, $b)",2,2,2,1,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,test_dummy(),3,3,3,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,testPathInfo(),9,7,7,0,0,1,2,9,
